,estimator,mean_score,max_score,std_score,base_estimator__criterion,base_estimator__max_depth,base_estimator__min_samples_leaf,base_estimator__splitter,max_depth,min_samples_leaf,min_score,n_estimators,n_neighbors
234,AdaBoostClassifier,0.21736451982458677,0.27824019024970276,0.03805340224279164,gini,2,5,random,,,0.17411764705882352,5,
91,AdaBoostClassifier,0.239301607559771,0.27824019024970276,0.02930870828847755,gini,1,1,random,,,0.19058823529411764,7,
79,AdaBoostClassifier,0.2515404439257954,0.2779126213592233,0.017670951740473326,gini,,5,random,,,0.22823529411764706,15,
51,AdaBoostClassifier,0.24421743661492612,0.2779126213592233,0.024438147359472192,gini,,4,best,,,0.20470588235294118,7,
38,AdaBoostClassifier,0.24184329631232174,0.27548543689320387,0.02834946425837778,gini,,3,best,,,0.19294117647058823,13,
226,AdaBoostClassifier,0.24054566063458127,0.27548543689320387,0.029449732444765946,gini,2,5,best,,,0.19647058823529412,5,
225,AdaBoostClassifier,0.23752283364119572,0.27548543689320387,0.037075234085332046,gini,2,5,best,,,0.17294117647058824,3,
209,AdaBoostClassifier,0.23728011519459374,0.27427184466019416,0.03682906709759106,gini,2,4,best,,,0.17294117647058824,3,
210,AdaBoostClassifier,0.24006764807033226,0.27427184466019416,0.02951965069224122,gini,2,4,best,,,0.1952941176470588,5,
194,AdaBoostClassifier,0.23980803115659843,0.2734839476813318,0.029188281238397285,gini,2,3,best,,,0.19647058823529412,5,
296,AdaBoostClassifier,0.25416588753219027,0.27305825242718446,0.016055591227328414,gini,3,4,random,,,0.22470588235294117,1,
193,AdaBoostClassifier,0.2367898763806216,0.272294887039239,0.03594535981655081,gini,2,3,best,,,0.17411764705882352,3,
348,KNeighborsClassifier,0.24554572620670329,0.272294887039239,0.023494300408100792,,,,,,,0.20588235294117646,,9
164,AdaBoostClassifier,0.23790987986723539,0.27110582639714625,0.030236311774649936,gini,2,1,best,,,0.19176470588235295,9,
163,AdaBoostClassifier,0.23790987986723539,0.27110582639714625,0.030236311774649936,gini,2,1,best,,,0.19176470588235295,7,
178,AdaBoostClassifier,0.23909231086134594,0.27110582639714625,0.028687910498666896,gini,2,2,best,,,0.19647058823529412,5,
167,AdaBoostClassifier,0.23696870339664716,0.27110582639714625,0.03169604559405689,gini,2,1,best,,,0.18705882352941178,15,
166,AdaBoostClassifier,0.23696870339664716,0.27110582639714625,0.03169604559405689,gini,2,1,best,,,0.18705882352941178,13,
165,AdaBoostClassifier,0.23696870339664716,0.27110582639714625,0.03169604559405689,gini,2,1,best,,,0.18705882352941178,11,
179,AdaBoostClassifier,0.23743425561039827,0.27063106796116504,0.029724767933022044,gini,2,2,best,,,0.19176470588235295,7,
180,AdaBoostClassifier,0.23743425561039827,0.27063106796116504,0.029724767933022044,gini,2,2,best,,,0.19176470588235295,9,
181,AdaBoostClassifier,0.23649307913981005,0.27063106796116504,0.03119409066666253,gini,2,2,best,,,0.18705882352941178,11,
182,AdaBoostClassifier,0.23054777592934633,0.27063106796116504,0.02704012875348088,gini,2,2,best,,,0.18705882352941178,13,
183,AdaBoostClassifier,0.23078558805776486,0.27063106796116504,0.02711854402022396,gini,2,2,best,,,0.18705882352941178,15,
29,AdaBoostClassifier,0.23510811255687947,0.27063106796116504,0.02381501323585832,gini,,2,random,,,0.2023529411764706,11,
162,AdaBoostClassifier,0.23885449873292738,0.27063106796116504,0.028425270846163572,gini,2,1,best,,,0.19647058823529412,5,
161,AdaBoostClassifier,0.23559614352112015,0.27063106796116504,0.03566587565259887,gini,2,1,best,,,0.17294117647058824,3,
141,AdaBoostClassifier,0.21406706489664548,0.27063106796116504,0.037101086270678985,gini,1,4,random,,,0.17046818727490998,11,
71,AdaBoostClassifier,0.2517646164933001,0.27063106796116504,0.017716499104884112,gini,,5,best,,,0.2235294117647059,15,
347,KNeighborsClassifier,0.24537608086191848,0.27063106796116504,0.0253947273282271,,,,,,,0.1976470588235294,,8
177,AdaBoostClassifier,0.23559614352112015,0.27063106796116504,0.03566587565259887,gini,2,2,best,,,0.17294117647058824,3,
23,AdaBoostClassifier,0.24629982218027785,0.27020506634499397,0.025287547496048057,gini,,2,best,,,0.20470588235294118,15,
70,AdaBoostClassifier,0.2503133623823001,0.27010804321728693,0.021314048812087545,gini,,5,best,,,0.21058823529411766,13,
176,AdaBoostClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,gini,2,2,best,,,0.20470588235294118,1,
160,AdaBoostClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,gini,2,1,best,,,0.20470588235294118,1,
331,DecisionTreeClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,,,,,2,2,0.20470588235294118,,
170,AdaBoostClassifier,0.23847898025636233,0.2699167657550535,0.035885167715525045,gini,2,1,random,,,0.17176470588235293,5,
332,DecisionTreeClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,,,,,2,3,0.20470588235294118,,
330,DecisionTreeClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,,,,,2,1,0.20470588235294118,,
192,AdaBoostClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,gini,2,3,best,,,0.20470588235294118,1,
195,AdaBoostClassifier,0.23062914645609434,0.2699167657550535,0.02504864254276298,gini,2,3,best,,,0.19176470588235295,7,
196,AdaBoostClassifier,0.23111458334929824,0.2699167657550535,0.025113508609123703,gini,2,3,best,,,0.19176470588235295,9,
208,AdaBoostClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,gini,2,4,best,,,0.20470588235294118,1,
211,AdaBoostClassifier,0.23180037222795652,0.2699167657550535,0.023367445347264326,gini,2,4,best,,,0.1976470588235294,7,
212,AdaBoostClassifier,0.22728220545921704,0.2699167657550535,0.027938405085364236,gini,2,4,best,,,0.18352941176470589,9,
213,AdaBoostClassifier,0.2291898639469742,0.2699167657550535,0.026266724337127463,gini,2,4,best,,,0.18823529411764706,11,
224,AdaBoostClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,gini,2,5,best,,,0.20470588235294118,1,
333,DecisionTreeClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,,,,,2,4,0.20470588235294118,,
334,DecisionTreeClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,,,,,2,5,0.20470588235294118,,
227,AdaBoostClassifier,0.23203828875379012,0.2699167657550535,0.022964027941944708,gini,2,5,best,,,0.1988235294117647,7,
228,AdaBoostClassifier,0.22727593961536913,0.2699167657550535,0.02744330203677207,gini,2,5,best,,,0.18470588235294116,9,
345,KNeighborsClassifier,0.24008592220395722,0.26941747572815533,0.026150452582292406,,,,,,,0.1952941176470588,,6
123,AdaBoostClassifier,0.23081507054309142,0.26872770511296074,0.023358543182686646,gini,1,3,random,,,0.2023529411764706,7,
52,AdaBoostClassifier,0.2508567325215722,0.26872770511296074,0.0240395402694602,gini,,4,best,,,0.20352941176470588,9,
297,AdaBoostClassifier,0.22295478229478424,0.2682038834951456,0.04180065160742064,gini,3,4,random,,,0.1564705882352941,3,
60,AdaBoostClassifier,0.2501471178440997,0.2682038834951456,0.02315690920227842,gini,,4,random,,,0.20705882352941177,9,
42,AdaBoostClassifier,0.23411596799099824,0.2682038834951456,0.023453367669025352,gini,,3,random,,,0.20352941176470588,5,
59,AdaBoostClassifier,0.24610391937726858,0.2677925211097708,0.02443008650644597,gini,,4,random,,,0.1988235294117647,7,
36,AdaBoostClassifier,0.23771944603769782,0.2677925211097708,0.024289972569391163,gini,,3,best,,,0.1952941176470588,9,
46,AdaBoostClassifier,0.24214240005332557,0.267538644470868,0.020183209201129787,gini,,3,random,,,0.21411764705882352,13,
184,AdaBoostClassifier,0.2239082734453922,0.2669902912621359,0.03307864680808375,gini,2,2,random,,,0.17294117647058824,1,
53,AdaBoostClassifier,0.24158317464704276,0.2669902912621359,0.030341189445097904,gini,,4,best,,,0.18352941176470589,11,
31,AdaBoostClassifier,0.24723238513970064,0.2669902912621359,0.019218789248398416,gini,,2,random,,,0.21176470588235294,15,
306,AdaBoostClassifier,0.232403355310764,0.2657766990291262,0.04126807124446796,gini,3,5,best,,,0.15294117647058825,5,
62,AdaBoostClassifier,0.24670333141597553,0.2657766990291262,0.016450512896895406,gini,,4,random,,,0.226890756302521,13,
69,AdaBoostClassifier,0.24620752289076017,0.26537997587454765,0.012597021410507721,gini,,5,best,,,0.22823529411764706,11,
37,AdaBoostClassifier,0.24220471699368798,0.26537997587454765,0.02151610534110846,gini,,3,best,,,0.2023529411764706,11,
63,AdaBoostClassifier,0.24415404707839952,0.26537997587454765,0.019937629402316873,gini,,4,random,,,0.21058823529411766,15,
169,AdaBoostClassifier,0.22337747449502462,0.26516052318668254,0.028596332339133574,gini,2,1,random,,,0.18823529411764706,3,
280,AdaBoostClassifier,0.2400282975656538,0.26516052318668254,0.021869818162243166,gini,3,3,random,,,0.2,1,
61,AdaBoostClassifier,0.248431060231253,0.2645631067961165,0.01960415062629278,gini,,4,random,,,0.21294117647058824,11,
290,AdaBoostClassifier,0.2415966783348777,0.2645631067961165,0.026232911807615118,gini,3,4,best,,,0.19294117647058823,5,
346,KNeighborsClassifier,0.2427067502321199,0.2645631067961165,0.023974225358458248,,,,,,,0.1988235294117647,,7
265,AdaBoostClassifier,0.22218424121517383,0.2645631067961165,0.035945207179385416,gini,3,2,random,,,0.17767106842737096,3,
106,AdaBoostClassifier,0.23129759355378138,0.2645631067961165,0.02545603156228721,gini,1,2,random,,,0.1988235294117647,5,
54,AdaBoostClassifier,0.2462569723290225,0.2645631067961165,0.014136959918484543,gini,,4,best,,,0.2211764705882353,13,
67,AdaBoostClassifier,0.23930282490089114,0.26417370325693607,0.022507611011340013,gini,,5,best,,,0.2,7,
30,AdaBoostClassifier,0.23739198896149993,0.26410564225690275,0.0183371353083256,gini,,2,random,,,0.20705882352941177,13,
186,AdaBoostClassifier,0.22081570087785654,0.26397146254458975,0.029425106677727346,gini,2,2,random,,,0.18607442977190877,5,
344,KNeighborsClassifier,0.23767825339649243,0.26397146254458975,0.026047554988273807,,,,,,,0.19294117647058823,,5
274,AdaBoostClassifier,0.2343866069542365,0.2633495145631068,0.025879317995857944,gini,3,3,best,,,0.19294117647058823,5,
249,AdaBoostClassifier,0.21291859786102427,0.2629674306393245,0.04375761664243662,gini,3,1,random,,,0.1564705882352941,3,
77,AdaBoostClassifier,0.24414690587686957,0.26290516206482595,0.01899539363262475,gini,,5,random,,,0.21176470588235294,11,
55,AdaBoostClassifier,0.2480006622560631,0.26290516206482595,0.024109605257583253,gini,,4,best,,,0.2,15,
78,AdaBoostClassifier,0.24983163300206504,0.2617611580217129,0.013806572962067883,gini,,5,random,,,0.2235294117647059,13,
68,AdaBoostClassifier,0.241190215768836,0.2617611580217129,0.017245761616930894,gini,,5,best,,,0.21411764705882352,9,
76,AdaBoostClassifier,0.2478784759966514,0.2617046818727491,0.012140320457830636,gini,,5,random,,,0.22823529411764706,9,
232,AdaBoostClassifier,0.23068256313018623,0.2615933412604043,0.02404219810899857,gini,2,5,random,,,0.19058823529411764,1,
47,AdaBoostClassifier,0.24500335781624902,0.2609223300970874,0.010861351865268886,gini,,3,random,,,0.23058823529411765,15,
159,AdaBoostClassifier,0.23008027780940615,0.2609223300970874,0.03848347702460479,gini,1,5,random,,,0.16588235294117648,15,
313,AdaBoostClassifier,0.2300343166557548,0.26040428061831156,0.02988755500978176,gini,3,5,random,,,0.1811764705882353,3,
204,AdaBoostClassifier,0.20985667589914653,0.26040428061831156,0.039896579925769414,gini,2,3,random,,,0.15764705882352942,9,
56,AdaBoostClassifier,0.218068450644716,0.25970873786407767,0.025354494396899196,gini,,4,random,,,0.18235294117647058,1,
50,AdaBoostClassifier,0.2386126770009144,0.25970873786407767,0.015354854414136516,gini,,4,best,,,0.21411764705882352,5,
189,AdaBoostClassifier,0.20713997591986236,0.25970873786407767,0.050962682517855386,gini,2,2,random,,,0.13805522208883553,11,
66,AdaBoostClassifier,0.2344323996651289,0.25934861278648974,0.029030452905652673,gini,,5,best,,,0.1811764705882353,5,
22,AdaBoostClassifier,0.23789599404434872,0.25849514563106796,0.015417329076940179,gini,,2,best,,,0.21176470588235294,13,
21,AdaBoostClassifier,0.23126947562495298,0.25849514563106796,0.026531808332442366,gini,,2,best,,,0.18823529411764706,11,
17,AdaBoostClassifier,0.21934188515931502,0.25849514563106796,0.027090809203426252,gini,,2,best,,,0.1776470588235294,3,
75,AdaBoostClassifier,0.23577186427643287,0.25849514563106796,0.01982017392460086,gini,,5,random,,,0.1988235294117647,7,
43,AdaBoostClassifier,0.23509442823312385,0.25814234016887816,0.02198595672031321,gini,,3,random,,,0.2011764705882353,7,
221,AdaBoostClassifier,0.2174750298187707,0.25728155339805825,0.03656700439362329,gini,2,4,random,,,0.16164053075995174,11,
39,AdaBoostClassifier,0.23960715767392018,0.2569360675512666,0.02188993154994006,gini,,3,best,,,0.1976470588235294,15,
28,AdaBoostClassifier,0.22522872302309413,0.25606796116504854,0.020744856681779503,gini,,2,random,,,0.19176470588235295,9,
109,AdaBoostClassifier,0.23063970555662178,0.255729794933655,0.014504737488230545,gini,1,2,random,,,0.21608643457382953,11,
241,AdaBoostClassifier,0.23215085869432536,0.255729794933655,0.01847490674412197,gini,3,1,best,,,0.1988235294117647,3,
257,AdaBoostClassifier,0.232623964940391,0.255729794933655,0.018066680467903398,gini,3,2,best,,,0.2,3,
316,AdaBoostClassifier,0.19235299670446204,0.2556480380499406,0.036056860367764176,gini,3,5,random,,,0.15776699029126215,9,
298,AdaBoostClassifier,0.22519834902319177,0.2556480380499406,0.02850665069608142,gini,3,4,random,,,0.17647058823529413,5,
95,AdaBoostClassifier,0.24107260903204267,0.2556480380499406,0.009869565950473945,gini,1,1,random,,,0.22569027611044418,15,
35,AdaBoostClassifier,0.23152103502323884,0.25485436893203883,0.02380863595771583,gini,,3,best,,,0.18823529411764706,7,
45,AdaBoostClassifier,0.2316869350724559,0.2545235223160434,0.021136487043995365,gini,,3,random,,,0.1988235294117647,11,
308,AdaBoostClassifier,0.2338224427653426,0.2545018007202881,0.020890128503124165,gini,3,5,best,,,0.19411764705882353,9,
309,AdaBoostClassifier,0.2195847886435474,0.2545018007202881,0.03611450611644982,gini,3,5,best,,,0.15294117647058825,11,
311,AdaBoostClassifier,0.20673936636482781,0.2545018007202881,0.04236821507281114,gini,3,5,best,,,0.15338882282996433,15,
294,AdaBoostClassifier,0.2269728635954818,0.2545018007202881,0.02963634485340956,gini,3,4,best,,,0.17176470588235293,13,
310,AdaBoostClassifier,0.21514285632255384,0.2545018007202881,0.04211273882046414,gini,3,5,best,,,0.1605231866825208,13,
41,AdaBoostClassifier,0.2252704564721439,0.2536407766990291,0.02633215390581691,gini,,3,random,,,0.18705882352941178,3,
216,AdaBoostClassifier,0.22833468772325186,0.2536407766990291,0.018481903438921518,gini,2,4,random,,,0.19647058823529412,1,
293,AdaBoostClassifier,0.22299777414644256,0.2533013205282113,0.019546045939908805,gini,3,4,best,,,0.19411764705882353,11,
291,AdaBoostClassifier,0.21656684216348837,0.2533013205282113,0.02680958786365407,gini,3,4,best,,,0.17176470588235293,7,
156,AdaBoostClassifier,0.22073596334085505,0.25326991676575505,0.03338564469124914,gini,1,5,random,,,0.1564705882352941,9,
200,AdaBoostClassifier,0.23428526486195364,0.2524271844660194,0.01703309763678578,gini,2,3,random,,,0.20352941176470588,1,
236,AdaBoostClassifier,0.22603660958843586,0.2524271844660194,0.029402856526181218,gini,2,5,random,,,0.17294117647058824,9,
