,estimator,mean_score,max_score,std_score,base_estimator__criterion,base_estimator__max_depth,base_estimator__min_samples_leaf,base_estimator__splitter,max_depth,min_samples_leaf,min_score,n_estimators,n_neighbors
206,AdaBoostClassifier,0.3879421503878563,0.4601226993865031,0.05294661602292931,gini,2,3,random,,,0.29489795918367345,13,
175,AdaBoostClassifier,0.41365579668388247,0.45714285714285713,0.03426121763503116,gini,2,1,random,,,0.3527013251783894,15,
318,AdaBoostClassifier,0.4165073251679239,0.4570552147239264,0.026493450407404133,gini,3,5,random,,,0.38650306748466257,13,
311,AdaBoostClassifier,0.40346028402167794,0.4560327198364008,0.03471510673609131,gini,3,5,best,,,0.35306122448979593,15,
316,AdaBoostClassifier,0.43037888020632914,0.454638124362895,0.022603699534181173,gini,3,5,random,,,0.38877551020408163,9,
300,AdaBoostClassifier,0.40058224711996954,0.45408163265306123,0.04415828656363406,gini,3,4,random,,,0.3312945973496432,9,
303,AdaBoostClassifier,0.3903737903859317,0.4539877300613497,0.04535115536802953,gini,3,4,random,,,0.33741080530071355,15,
24,AdaBoostClassifier,0.4157068385974303,0.4539877300613497,0.028834632035694932,gini,,2,random,,,0.3751274209989806,1,
16,AdaBoostClassifier,0.41754712391326015,0.4539877300613497,0.02622083688204997,gini,,2,best,,,0.38328236493374107,1,
268,AdaBoostClassifier,0.3928165034235679,0.4536187563710499,0.05764057081528018,gini,3,2,random,,,0.29561671763506625,9,
315,AdaBoostClassifier,0.42428578831018343,0.450920245398773,0.02862388816562686,gini,3,5,random,,,0.37410805300713557,7,
233,AdaBoostClassifier,0.44895761805594636,0.45,0.0015857666084488113,gini,2,5,random,,,0.4458077709611452,3,
190,AdaBoostClassifier,0.4112051732383165,0.44954128440366975,0.033045170327771434,gini,2,2,random,,,0.36085626911314983,13,
325,DecisionTreeClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,,,,,1,1,0.37104994903160043,,
326,DecisionTreeClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,,,,,1,2,0.37104994903160043,,
327,DecisionTreeClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,,,,,1,3,0.37104994903160043,,
328,DecisionTreeClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,,,,,1,4,0.37104994903160043,,
329,DecisionTreeClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,,,,,1,5,0.37104994903160043,,
348,KNeighborsClassifier,0.4093765391186775,0.4489795918367347,0.03259644711599806,,,,,,,0.35575942915392456,,9
112,AdaBoostClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,gini,1,3,best,,,0.37104994903160043,1,
80,AdaBoostClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,gini,1,1,best,,,0.37104994903160043,1,
96,AdaBoostClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,gini,1,2,best,,,0.37104994903160043,1,
128,AdaBoostClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,gini,1,4,best,,,0.37104994903160043,1,
144,AdaBoostClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,gini,1,5,best,,,0.37104994903160043,1,
1,AdaBoostClassifier,0.41939365663903133,0.4488752556237219,0.03211774893277618,gini,,1,best,,,0.37716615698267075,3,
7,AdaBoostClassifier,0.4155146378920792,0.4488752556237219,0.033630786912972,gini,,1,best,,,0.3730886850152905,15,
11,AdaBoostClassifier,0.42161043423391753,0.4488752556237219,0.015454169616270785,gini,,1,random,,,0.4010204081632653,7,
320,DecisionTreeClassifier,0.41631991563252574,0.4479591836734694,0.028438515386422895,,,,,,1,0.3751274209989806,,
267,AdaBoostClassifier,0.4083373683050452,0.44693877551020406,0.027856963383135203,gini,3,2,random,,,0.37003058103975534,7,
14,AdaBoostClassifier,0.423442567924151,0.4459183673469388,0.017610156425983008,gini,,1,random,,,0.3924566768603466,13,
15,AdaBoostClassifier,0.4077330669983984,0.4458077709611452,0.019427741054074733,gini,,1,random,,,0.39081632653061227,15,
8,AdaBoostClassifier,0.42162167319039207,0.4447852760736196,0.021429233588522154,gini,,1,random,,,0.3924566768603466,1,
341,KNeighborsClassifier,0.3906097701833777,0.4437627811860941,0.033219821815682546,,,,,,,0.3486238532110092,,2
0,AdaBoostClassifier,0.4161225089649375,0.4437627811860941,0.029042739648057075,gini,,1,best,,,0.3730886850152905,1,
347,KNeighborsClassifier,0.4089719303041755,0.4427402862985685,0.02597720486988374,,,,,,,0.3669724770642202,,8
