,estimator,mean_score,max_score,std_score,alpha,hidden_layer_sizes,max_iter,random_state,solver,min_score
448,MLPClassifier,0.33955447479830564,0.39263803680981596,0.037079829184862884,1e-09,14,9,0,lbfgs,0.2874617737003058
148,MLPClassifier,0.33955447479830564,0.39263803680981596,0.037079829184862884,0.001,14,9,0,lbfgs,0.2874617737003058
298,MLPClassifier,0.33955447479830564,0.39263803680981596,0.037079829184862884,1e-06,14,9,0,lbfgs,0.2874617737003058
398,MLPClassifier,0.33955447479830564,0.39263803680981596,0.037079829184862884,1e-08,14,9,0,lbfgs,0.2874617737003058
98,MLPClassifier,0.33955447479830564,0.39263803680981596,0.037079829184862884,0.01,14,9,0,lbfgs,0.2874617737003058
248,MLPClassifier,0.33955447479830564,0.39263803680981596,0.037079829184862884,1e-05,14,9,0,lbfgs,0.2874617737003058
348,MLPClassifier,0.33955447479830564,0.39263803680981596,0.037079829184862884,1e-07,14,9,0,lbfgs,0.2874617737003058
198,MLPClassifier,0.33955447479830564,0.39263803680981596,0.037079829184862884,0.0001,14,9,0,lbfgs,0.2874617737003058
48,MLPClassifier,0.33955447479830564,0.39263803680981596,0.037079829184862884,0.1,14,9,0,lbfgs,0.2874617737003058
345,MLPClassifier,0.3470911114863386,0.39059304703476483,0.03022514023777219,1e-07,14,5,1,lbfgs,0.30784913353720694
195,MLPClassifier,0.3470911114863386,0.39059304703476483,0.03022514023777219,0.0001,14,5,1,lbfgs,0.30784913353720694
445,MLPClassifier,0.3470911114863386,0.39059304703476483,0.03022514023777219,1e-09,14,5,1,lbfgs,0.30784913353720694
245,MLPClassifier,0.3470911114863386,0.39059304703476483,0.03022514023777219,1e-05,14,5,1,lbfgs,0.30784913353720694
295,MLPClassifier,0.3470911114863386,0.39059304703476483,0.03022514023777219,1e-06,14,5,1,lbfgs,0.30784913353720694
395,MLPClassifier,0.3470911114863386,0.39059304703476483,0.03022514023777219,1e-08,14,5,1,lbfgs,0.30784913353720694
145,MLPClassifier,0.3470911114863386,0.39059304703476483,0.03022514023777219,0.001,14,5,1,lbfgs,0.30784913353720694
45,MLPClassifier,0.3470911114863386,0.39059304703476483,0.03022514023777219,0.1,14,5,1,lbfgs,0.30784913353720694
95,MLPClassifier,0.3470911114863386,0.39059304703476483,0.03022514023777219,0.01,14,5,1,lbfgs,0.30784913353720694
196,MLPClassifier,0.3497295707461424,0.386734693877551,0.026661693824952832,0.0001,14,7,0,lbfgs,0.3129459734964322
346,MLPClassifier,0.3497295707461424,0.386734693877551,0.026661693824952832,1e-07,14,7,0,lbfgs,0.3129459734964322
296,MLPClassifier,0.3497295707461424,0.386734693877551,0.026661693824952832,1e-06,14,7,0,lbfgs,0.3129459734964322
146,MLPClassifier,0.3497295707461424,0.386734693877551,0.026661693824952832,0.001,14,7,0,lbfgs,0.3129459734964322
96,MLPClassifier,0.3497295707461424,0.386734693877551,0.026661693824952832,0.01,14,7,0,lbfgs,0.3129459734964322
396,MLPClassifier,0.3497295707461424,0.386734693877551,0.026661693824952832,1e-08,14,7,0,lbfgs,0.3129459734964322
46,MLPClassifier,0.3497295707461424,0.386734693877551,0.026661693824952832,0.1,14,7,0,lbfgs,0.3129459734964322
